obsid,ra_obs,dec_obs,snru,snrg,snrr,snri,snrz,objtype,z,z_err,magtype,mag1,mag2,mag3,mag4,mag5,mag6,mag7,tsource,ra,dec,teff,teff_err,logg,logg_err,feh,feh_err,rv,rv_err,ra_epoch2000,dec_epoch2000,source_id,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,visibility_periods_used,ruwe,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,angDist,l,b,x,y,vx,vy,vz,r,theta,phi,vr,vtheta,vphi,R,T,vR,vT,Vtot
110123,329.91092,-0.01597,51.73,231.67,385.17,525.86,424.49,None,-1.0004091556988,1.76122E-05,None,13.14,11.47,10.7,15.89,12.15,10,10,None,329.91092,-0.01597,5020.79,24.35,2.334,0.038,-1.036,0.02,19.55,5.28,329.91093229165,-0.01601894913,2.68054396623138E+018,329.91095998664,0.0162,-0.01601860581,0.0196,0.6501,0.0163,39.7888,6.232,6.231,0.021,0.077,0.027,291.71,0.072,5.91,31,12,0.73,624214,118.407,11.199033,298765,232.863,11.650217,467269,10.573977,1.07624,24.33,0.63,8,5000,4.5,,1.23766354314592E+018,5623094,0.002763,0.002916,0.003804,11.199033,0.002763,624214,0.181688,59.0136508449356,-40.659912375809,-0.60075066379301,1.00035679363685,-35.84977949853,-5.79700082313458,-27.3044181970929,7.73005982650393,1.70081956798677,0.130886324096367,-32.4521691740534,31.7875881847752,-1.06855678789123,1.16847093696681,1.02771400834712,34.8088418624404,-10.1716940395998,236.89581402037
2503222,71.248727,28.707772,1.39,17.82,59.05,114.89,105.99,None,-0.470456706001336,1.93134E-05,None,99,14.9,13.8,0,99,99,99,None,71.248727,28.707772,4663.05,127.51,1.451,0.198,-1.192,0.118,77.81,5.79,71.24869092801,28.70782774094,1.57826858285244E+017,71.24874964564,0.02,28.70775380749,0.0097,0.4104,0.022,18.632,20.273,11.588,0.025,-16.635,0.019,831.28,0.11,9.269,31,18,1.371,59147.4,11.0482,13.757528,18804.4,18.0256,14.652893,58977.6,12.821178,1.831715,73.12,1.55,17,5500,4.5,1.4244071248779E+017,,,0.002763,0.002978,0.003812,13.757528,0.002763,59147.4,0.230738,172.46875399076,-10.9595200230032,2.37157068822481,0.313539041300034,-27.122428051241,-231.86339616793,-18.457773381835,10.5863595600641,1.61456889679166,0.02965000806095,-33.1437120671863,19.934060363732,-230.957423027952,2.39075793846723,3.01007134428521,20.2334249946763,-232.310044202128,464.509171690387
4102050,45.499603,50.481486,4.14,16.36,31.48,22.58,29.38,None,-0.191133238188142,2.00472E-05,None,13.26,99,99,99,99,99,99,None,45.499603,50.481486,5447.98,80.22,2.607,0.125,-1.22,0.075,-40.32,6.01,45.4995870083,50.48148446409,4.39572864616571E+017,45.49974904725,0.0112,50.48144293825,0.0112,0.6673,0.0147,45.3072,25.011,23.2,0.017,-9.343,0.015,679.87,0.058,4.137,31,19,1.055,138330,26.4057,12.835079,50998.3,45.948,13.569653,126609,11.991736,1.577916,-31.79,1.38,16,5500,3.5,1.68570454996938E+017,,,0.002763,0.002957,0.003794,12.835079,0.002763,138330,0.037048,143.170432896519,-7.18841273058777,1.19006570738037,0.891241083218825,-107.854241889788,-139.549103200573,21.4945432473749,9.43412999090037,1.59067448091265,0.094629710959542,-120.960776847075,-19.0871049044998,-128.733763258543,1.48630093405437,2.49855228767038,94.1991383782996,-148.860543399898,381.080533325348
13908101,63.814799,44.358825,2.02,18.12,86.6,118.63,159.56,None,-0.294617423923247,1.26421E-05,None,13.02,99,99,99,99,99,99,None,63.814799,44.358825,4610.24,98.98,1.176,0.154,-1.637,0.092,-17.13,3.79,63.81479628134,44.35882264125,2.32599661931742E+017,63.81488406752,0.0114,44.35875598417,0.0094,0.2879,0.0165,17.4535,20.6,14.122,0.018,-14.998,0.013,392.54,0,0,31,16,1.064,106954,19.8998,13.114373,32523.7,30.0361,14.058042,109362,12.150731,1.907311,-22.38,0.97,9,5000,3,1.61230638148571E+017,,,0.002763,0.002965,0.003797,13.114373,0.002763,106954,0.011003,156.792020508659,-4.70545634356083,3.18160048197818,1.3641602321844,-132.231877615886,-311.921154791532,-16.5714156765734,11.4666015836002,1.59564820011818,0.119287584893974,-167.948378501308,20.7578303074601,-293.968300320365,3.46087193468533,2.73643495880385,94.1916886551705,-325.185917387888,552.380233716449
15505094,80.536311,27.440295,0,49.2,125.68,239.43,226.02,None,-0.16740560509723,2.22821E-05,None,99,14.26,13.09,0,99,99,99,None,80.536311,27.440295,4819.19,41.94,1.876,0.069,-1.49,0.04,146.31,6.68,80.53626049004,27.44035149067,3.4212879391621E+018,80.53636184815,0.015,27.44027544666,0.0106,0.555,0.0174,31.8379,26.503,20.24,0.019,-17.11,0.014,434.17,0.057,2.854,31,17,1.126,117222,29.5144,13.014842,35180,28.1877,13.972804,120860,12.042191,1.930614,149.97,1.74,7,5000,3,1.40920805363289E+017,1.23767341243905E+018,,0.002769,0.002923,0.003797,13.014842,0.002769,117222,0.259616,178.451134037163,-5.15689086236325,1.79385301451316,0.048504704890154,-11.4951273414703,-217.860871196964,60.4142367354282,9.99528284597249,1.58699986000212,0.004853415791279,-13.5294786285861,-60.1960096143843,-217.802514861816,1.79396873720344,3.11455675625235,10.4280543668372,-217.658884257719,454.043201874337
19012084,183.587971,28.797585,10.8,64.32,95.41,136.16,105.49,None,2.30636443730961,2.58512E-05,None,99,99,12.69,99,99,11.53,11.1,None,183.587971,28.797585,5072.36,42.48,2.614,0.07,-1.388,0.04,-35.09,7.75,183.58802253108,28.79762060012,4.01295702892547E+018,183.58802573086,0.018,28.79755020252,0.0168,0.4288,0.0208,20.5827,15.852,0.631,0.024,-15.839,0.021,513.56,0.111,11,31,14,1.155,135746,41.1979,12.855548,67379.5,47.7197,13.267222,98599,12.263214,1.004008,-28.19,1.91,12,5000,3,1.42551835879768E+017,1.23766720999201E+018,,0.002775,0.002894,0.003856,12.855548,0.002775,135746,0.207012,199.257332610799,81.6449656603961,0.319907269701847,-0.111762555873141,89.5346441725662,-150.557148716683,5.09977394279443,8.82752065433843,1.3063445831749,-0.013117061302135,89.6518896666144,19.0011612532118,-149.369798936034,0.345479737422446,-2.81213241169397,-87.5664294488561,-151.463610792535,391.79891852272
19014089,180.976392,27.993841,8.59,53.5,69.7,111.47,85.51,None,1.79722376732932,3.78262E-05,None,99,99,13.04,99,99,11.92,11.48,None,180.976392,27.993841,5074.14,50.37,2.483,0.083,-1.957,0.048,-46.85,11.34,180.97634887951,27.9938498455,4.00702905063994E+018,180.97625447516,0.0124,27.99369318169,0.0094,0.5467,0.0148,36.9501,39.929,-18.756,0.014,-35.249,0.011,336.74,0.023,0.5135,31,17,1.066,105892,18.2623,13.125209,54149.8,39.5266,13.50455,74498,12.567534,0.937016,-34.6,4.63,6,6000,3.5,1.41591809762913E+017,1.23766732379233E+018,,0.002762,0.002901,0.003805,13.125209,0.002762,105892,0.140721,205.494533394589,79.4341451919657,0.302744778664978,-0.144366397238007,-1.28593905104476,-345.0889178792,-27.9509032648829,8.69199797619217,1.36241819972034,-0.016977168051533,-1.3100108560055,28.2988057616709,-345.061018133639,0.340327074458472,-2.70348126782074,7.12895364906202,-344.762295218963,577.739030853203
19314099,168.403223,29.185768,12.1,78.27,109.8,178.23,143.96,None,2.65237844834546,1.93801E-05,None,99,99,12.76,99,99,11.5,10.99,None,168.403223,29.185768,4918.76,31.34,2.361,0.052,-1.12,0.03,73.76,5.81,168.40317493345,29.18569411749,3.99913290788445E+018,168.40310637873,0.0164,29.1856545867,0.0172,0.3501,0.021,16.6921,16.139,-13.467,0.019,-8.894,0.022,659.75,0.134,15.48,31,18,1.124,123284,42.9874,12.960103,58045.6,42.7826,13.429119,93161.5,12.324804,1.104315,84.05,1.07,3,6000,3.5,1.43021684031973E+017,1.2376672545464E+018,,0.002781,0.002903,0.003823,12.960103,0.002781,123284,0.305886,201.723699628965,68.3789467930285,0.977713622527865,-0.389548045555623,-114.342819675553,-173.569765112271,-67.4673694912812,9.56206598967781,1.28940013518912,-0.042419537195309,-121.413103946193,35.1402349854573,-178.262541306257,1.05994570856804,-2.76524229475851,121.578643259378,-168.309963624225,433.13778472328
20004158,184.012772,30.227201,10.79,52.23,98.11,123.4,99.1,None,3.17990742789655,2.51507E-05,None,99,99,13.28,99,99,11.93,11.37,None,184.012772,30.227201,4730.05,54.46,1.95,0.09,-1.379,0.052,-173.35,7.54,184.01276539669,30.22718035831,4.01371040484459E+018,184.01277503051,0.0131,30.22708231354,0.0109,0.311,0.0159,19.5794,22.139,1.873,0.014,-22.06,0.013,281.73,0,0,95,18,0.97,83133.4,273.9,13.387929,38543,424.734,13.873679,64490.7,12.724154,1.149526,-154.06,11.33,9,4500,3,1.44271840127693E+017,1.2376672545523E+018,,0.004515,0.012286,0.009895,13.389625,0.00452,83003.6,0.077097,189.081405015427,81.6460184769811,0.461309471310782,-0.07373625760552,184.971831261115,-281.533568131538,20.1480277676015,9.22737729127197,1.21880334355864,-0.008513086451193,182.818162592611,45.6905642691888,-279.948704282142,0.476702990775629,-2.98626241953452,-182.581417974534,-282.843091532426,543.985201464917
20503098,172.040798,30.383268,30.58,123.09,183.67,255.37,223.46,None,2.93475251812724,1.79124E-05,None,99,99,12.78,99,99,11.47,10.93,None,172.040798,30.383268,4883.57,21.25,2.027,0.035,-1.472,0.019,70.97,5.37,172.04077423331,30.38329028147,4.02268750496804E+018,172.04072466519,0.0178,30.38323797067,0.0201,0.3228,0.0255,12.65,15.202,-9.621,0.019,-11.77,0.02,859.4,0.155,22.38,31,15,1.292,126274,48.5735,12.934084,58919.7,55.2013,13.41289,96465.6,12.286964,1.125926,78.7,2.29,3,5500,3.5,1.4446172040776E+017,1.23766721267204E+018,,0.002787,0.00297,0.003858,12.934084,0.002787,126274,0.109005,197.877969935845,71.4884424269537,0.936074540959947,-0.301946422161631,-56.9933257068479,-212.132405005009,-39.8755394559879,9.60148770715552,1.25985669464108,-0.033037882350037,-59.7617251077693,22.685968021724,-213.8992403675,0.992055238387958,-2.83230786171,63.9499664261622,-209.879197598568,451.649925268538
